S.No,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (degree),AT (degree C)
1,14-May-2021 - 00:00,14-May-2021 - 01:00,asfdas88.5,asfdas88,10.82,36.45,28.23,67.8,18.45,0.75,31.07,3.15,37.88,,69.85,1.2,67.75,23.07,979.7,,24.22
2,14-May-2021 - 01:00,14-May-2021 - 02:00,asfaf110.25,asfaf211.0,10.75,33.0,26.27,88.2,22.5,1.0,21.3,4.65,17.07,,72.67,1.1,68.7,23.95,979.65,,23.7
3,14-May-2021 - 02:00,14-May-2021 - 03:00,138.5,234.75,9.2,29.1,22.9,81.9,,,18.48,5.35,18.93,,74.65,1.0,53.27,25.65,979.5,,23.4
4,14-May-2021 - 03:00,14-May-2021 - 04:00,157.25,268.25,6.5,24.58,18.38,60.0,28.97,1.52,21.05,7.0,91.85,,74.47,1.27,23.8,28.27,979.95,,23.5
5,14-May-2021 - 04:00,14-May-2021 - 05:00,170.25,279.5,5.38,20.75,15.43,57.45,30.7,1.25,22.55,5.85,95.08,,75.28,1.38,42.67,28.9,980.47,,23.2
6,14-May-2021 - 05:00,14-May-2021 - 06:00,131.5,236.25,11.07,27.3,23.58,58.62,26.2,1.02,19.9,4.95,55.1,,75.88,1.32,71.0,34.4,980.9,,22.92
7,14-May-2021 - 06:00,14-May-2021 - 07:00,121.75,201.25,13.77,26.35,25.25,61.45,22.85,1.15,19.02,5.0,13.97,,74.93,1.25,69.77,78.65,981.38,,23.48
8,14-May-2021 - 07:00,14-May-2021 - 08:00,126.75,210.25,7.5,19.05,16.28,62.93,22.98,1.0,24.48,5.42,44.95,,69.93,1.5,59.15,136.6,981.8,,25.33
9,14-May-2021 - 08:00,14-May-2021 - 09:00,129.5,227.5,6.03,17.2,14.05,63.32,26.2,1.1,34.35,5.45,46.23,,63.98,1.65,51.62,251.6,982.35,,27.48
10,14-May-2021 - 09:00,14-May-2021 - 10:00,103.0,189.75,4.75,13.65,11.12,66.5,24.48,0.72,54.5,3.9,44.8,,55.55,1.5,58.27,569.0,982.12,,30.35
11,14-May-2021 - 10:00,14-May-2021 - 11:00,69.0,141.5,3.8,10.78,8.83,70.4,19.35,0.48,72.77,2.9,44.33,,50.58,1.72,51.15,624.08,981.8,,32.1
12,14-May-2021 - 11:00,14-May-2021 - 12:00,51.5,126.25,4.0,5.15,6.0,71.75,13.73,0.23,87.73,2.3,110.88,,44.38,1.62,26.35,852.3,981.33,,34.0
13,14-May-2021 - 12:00,14-May-2021 - 13:00,33.5,97.25,3.3,10.8,8.45,74.28,9.5,0.15,97.53,0.78,73.78,,40.2,1.12,39.25,903.35,980.58,,35.58
14,14-May-2021 - 13:00,14-May-2021 - 14:00,26.75,78.5,3.03,4.98,5.1,75.25,7.93,0.03,107.78,0.57,72.35,,37.43,0.88,35.48,816.47,979.82,,36.77
